
> @werkles/tinkarden-membrane@0.0.0 dev
> next dev -p 3339

   ▲ Next.js 15.5.18
   - Local:        http://localhost:3339
   - Network:      http://10.1.10.194:3339

 ✓ Starting...
 ✓ Ready in 1418ms
 ○ Compiling /api/feral/[...path] ...
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 87ms
 GET /api/feral/v1/engine-room 200 in 37ms
 GET /api/feral/v1/engine-room 200 in 34ms
 GET /api/feral/v1/engine-room 200 in 34ms
 GET /api/feral/v1/engine-room 200 in 36ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 118ms
 GET /api/feral/v1/engine-room 200 in 25ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 110ms
 GET /api/feral/v1/engine-room 200 in 32ms
 GET /api/feral/v1/engine-room 200 in 34ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 94ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 78ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 61ms
 GET /api/feral/v1/engine-room 200 in 40ms
 GET /api/feral/v1/engine-room 200 in 49ms
 GET /api/feral/v1/engine-room 200 in 41ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 77ms
 GET /api/feral/v1/engine-room 200 in 50ms
 GET /api/feral/v1/engine-room 200 in 43ms
 GET /api/feral/v1/engine-room 200 in 34ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 66ms
 GET /api/feral/v1/engine-room 200 in 35ms
 GET /api/feral/v1/engine-room 200 in 39ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 76ms
 GET /api/feral/v1/engine-room 200 in 32ms
 GET /api/feral/v1/engine-room 200 in 34ms
 GET /api/feral/v1/engine-room 200 in 31ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 72ms
 GET /api/feral/v1/engine-room 200 in 42ms
 GET /api/feral/v1/engine-room 200 in 28ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 79ms
 GET /api/feral/v1/engine-room 200 in 36ms
 GET /api/feral/v1/engine-room 200 in 33ms
 GET /api/feral/v1/engine-room 200 in 32ms
 GET /api/feral/v1/engine-room 200 in 28ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 96ms
 GET /api/feral/v1/engine-room 200 in 28ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 106ms
 GET /api/feral/v1/engine-room 200 in 21ms
 GET /api/feral/v1/engine-room 200 in 34ms
 GET /api/feral/v1/engine-room 200 in 28ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 117ms
 GET /api/feral/v1/engine-room 200 in 40ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 105ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 94ms
 GET /api/feral/v1/engine-room 200 in 24ms
 GET /api/feral/v1/engine-room 200 in 33ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 86ms
 GET /api/feral/v1/engine-room 200 in 39ms
 GET /api/feral/v1/engine-room 200 in 40ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 62ms
 GET /api/feral/v1/engine-room 200 in 32ms
 GET /api/feral/v1/engine-room 200 in 33ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 72ms
 GET /api/feral/v1/engine-room 200 in 37ms
 GET /api/feral/v1/engine-room 200 in 43ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 76ms
 GET /api/feral/v1/engine-room 200 in 31ms
 GET /api/feral/v1/engine-room 200 in 34ms
 GET /api/feral/v1/engine-room 200 in 38ms
 GET /api/feral/v1/engine-room 200 in 32ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 78ms
 GET /api/feral/v1/engine-room 200 in 31ms
 GET /api/feral/v1/engine-room 200 in 33ms
 GET /api/feral/v1/engine-room 200 in 25ms
 GET /api/feral/v1/engine-room 200 in 24ms
 GET /api/feral/v1/engine-room 200 in 26ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 84ms
 GET /api/feral/v1/engine-room 200 in 32ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 115ms
 GET /api/feral/v1/engine-room 200 in 35ms
 GET /api/feral/v1/engine-room 200 in 37ms
 GET /api/feral/v1/engine-room 200 in 24ms
 GET /api/feral/v1/engine-room 200 in 25ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 118ms
 GET /api/feral/v1/engine-room 200 in 25ms
 GET /api/feral/v1/engine-room 200 in 27ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 115ms
 GET /api/feral/v1/engine-room 200 in 14ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 105ms
 GET /api/feral/v1/engine-room 200 in 25ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 101ms
 GET /api/feral/v1/engine-room 200 in 26ms
